One shouldn't give too much reliance on the data for pT<0.3GeV, as the error will be large, and it is subject to the bounding function.
pt	y	ey
0.0158489	0.0821874	0.0817643
0.0160899	0.0814054	0.0809814
0.0163346	0.08062	0.0801951
0.016583	0.0798304	0.0794046
0.0168351	0.0790377	0.078611
0.0170911	0.0782418	0.0778142
0.017351	0.0774419	0.0770132
0.0176148	0.0766394	0.0762098
0.0178827	0.075833	0.0754024
0.0181546	0.0750242	0.0745926
0.0184306	0.0742121	0.0737795
0.0187109	0.0733973	0.0729637
0.0189954	0.0725798	0.0721452
0.0192842	0.0717597	0.0713241
0.0195774	0.0709371	0.0705004
0.0198751	0.070112	0.0696743
0.0201773	0.0692846	0.0688458
0.0204842	0.0684554	0.0680155
0.0207956	0.0676245	0.0671834
0.0211118	0.0667915	0.0663493
0.0214329	0.0659565	0.0655131
0.0217588	0.0651205	0.064676
0.0220896	0.0642826	0.0638369
0.0224255	0.063444	0.0629971
0.0227665	0.0626043	0.0621562
0.0231127	0.0617634	0.0613141
0.0234641	0.0609216	0.060471
0.0238209	0.0600794	0.0596276
0.0241831	0.0592365	0.0587834
0.0245508	0.0583933	0.0579389
0.0249241	0.0575501	0.0570945
0.0253031	0.056707	0.05625
0.0256879	0.055864	0.0554056
0.0260785	0.0550218	0.0545621
0.026475	0.0541794	0.0537183
0.0268776	0.0533385	0.052876
0.0272863	0.0524983	0.0520344
0.0277012	0.0516588	0.0511934
0.0281224	0.0508211	0.0503543
0.02855	0.0499844	0.0495161
0.0289841	0.0491497	0.04868
0.0294248	0.0483169	0.0478456
0.0298723	0.0474863	0.0470136
0.0303265	0.0466578	0.0461834
0.0307876	0.0458314	0.0453555
0.0312558	0.0450082	0.0445307
0.031731	0.0441878	0.0437087
0.0322135	0.0433706	0.0428898
0.0327033	0.0425565	0.042074
0.0332006	0.0417456	0.0412615
0.0337054	0.0409387	0.0404529
0.034218	0.0401359	0.0396484
0.0347383	0.0393374	0.038848
0.0352665	0.0385432	0.0380521
0.0358027	0.0377535	0.0372606
0.0363471	0.0369686	0.0364738
0.0368998	0.0361889	0.0356923
0.0374609	0.0354143	0.0349158
0.0380305	0.0346458	0.0341454
0.0386088	0.0338827	0.0333803
0.0391958	0.0331254	0.0326211
0.0397918	0.0323744	0.031868
0.0403969	0.0316301	0.0311217
0.0410112	0.0308922	0.0303818
0.0416348	0.0301615	0.029649
0.0422678	0.0294381	0.0289234
0.0429105	0.0287221	0.0282053
0.043563	0.0280138	0.0274947
0.0442254	0.0273133	0.026792
0.0448979	0.0266213	0.0260977
0.0455806	0.0259374	0.0254115
0.0462737	0.0252623	0.0247341
0.0469773	0.0245963	0.0240656
0.0476916	0.0239389	0.0234059
0.0484168	0.0232914	0.0227559
0.049153	0.022654	0.022116
0.0499004	0.0220259	0.0214853
0.0506592	0.0214085	0.0208653
0.0514295	0.0208013	0.0202555
0.0522115	0.0202049	0.0196564
0.0530054	0.0196195	0.0190682
0.0538114	0.0190452	0.0184911
0.0546296	0.0184822	0.0179253
0.0554603	0.0179312	0.0173714
0.0563036	0.0173923	0.0168295
0.0571597	0.0168653	0.0162995
0.0580289	0.0163507	0.0157818
0.0589112	0.0158488	0.0152768
0.059807	0.0153596	0.0147844
0.0607164	0.0148834	0.0143049
0.0616396	0.0144207	0.0138389
0.0625769	0.0139711	0.0133859
0.0635284	0.0135352	0.0129466
0.0644944	0.0131132	0.0125209
0.0654751	0.0127045	0.0121087
0.0664707	0.0123102	0.0117106
0.0674814	0.0119298	0.0113265
0.0685075	0.0115629	0.0109557
0.0695492	0.0112107	0.0105996
0.0706067	0.010872	0.0102569
0.0716803	0.0105475	0.00992826
0.0727703	0.010237	0.0096135
0.0738768	0.00994029	0.00931246
0.0750001	0.00965728	0.00902502
0.0761405	0.00938778	0.00875099
0.0772983	0.00913173	0.00849029
0.0784737	0.00888879	0.00824258
0.0796669	0.0086588	0.00800771
0.0808783	0.00844148	0.00778538
0.0821081	0.00823653	0.0075753
0.0833566	0.0080437	0.00737719
0.0846241	0.00786265	0.00719073
0.0859108	0.00769315	0.00701567
0.0872172	0.0075348	0.00685161
0.0885434	0.00738729	0.00669824
0.0898897	0.0072503	0.00655523
0.0912565	0.00712355	0.00642228
0.0926441	0.00700666	0.006299
0.0940529	0.00689941	0.0061852
0.095483	0.00680149	0.00608053
0.0969349	0.00671256	0.00598464
0.0984088	0.00663246	0.00589737
0.0999052	0.00656088	0.00581841
0.101424	0.00649761	0.00574752
0.102967	0.00644247	0.00568452
0.104532	0.00639521	0.00562917
0.106122	0.00635577	0.00558136
0.107735	0.00632389	0.00554084
0.109373	0.00629958	0.0055076
0.111037	0.00628263	0.00548142
0.112725	0.00627304	0.00546228
0.114439	0.00627072	0.00545009
0.116179	0.00627569	0.00544483
0.117946	0.00628789	0.00544643
0.119739	0.00630738	0.00545495
0.12156	0.00633416	0.00547036
0.123408	0.00636833	0.00549272
0.125285	0.00640997	0.0055221
0.12719	0.00645921	0.0055586
0.129124	0.0065161	0.00560227
0.131087	0.00658088	0.00565328
0.13308	0.0066537	0.00571178
0.135104	0.00673473	0.0057779
0.137158	0.0068242	0.00585183
0.139244	0.00692231	0.00593374
0.141361	0.00702938	0.00602389
0.143511	0.00714562	0.00612247
0.145693	0.00727129	0.00622968
0.147908	0.00740676	0.00634584
0.150157	0.00755232	0.00647118
0.15244	0.00770822	0.00660588
0.154758	0.00787482	0.00675025
0.157112	0.00805245	0.00690454
0.1595	0.00824145	0.007069
0.161926	0.00844218	0.00724391
0.164388	0.0086549	0.00742943
0.166888	0.00887999	0.00762583
0.169425	0.00911775	0.00783329
0.172001	0.00936848	0.00805199
0.174617	0.00963254	0.00828212
0.177272	0.00991014	0.00852375
0.179967	0.0102016	0.00877703
0.182704	0.0105073	0.00904202
0.185482	0.0108273	0.00931878
0.188302	0.011162	0.00960728
0.191166	0.0115117	0.00990744
0.194072	0.0118765	0.0102193
0.197023	0.0122567	0.0105425
0.200019	0.0126526	0.0108771
0.203061	0.0130643	0.0112228
0.206148	0.0134924	0.0115793
0.209283	0.0139369	0.0119461
0.212465	0.0143983	0.012323
